Rank,Title,Artiste,ImageUri,LastPosition,HighestPosition,MusicLink
37,Damages,Tems ,https://tooxclusive.com/wp-content/uploads/2020/09/Tems-Damages-ART.jpg,32,24,https://www.youtube.com/watch?v=EOrFWBjiRik
38,You,Omah Lay ,https://tooxclusive.com/wp-content/uploads/2020/02/Omah-Lay-You-artxxx.jpg,48,2,https://www.youtube.com/watch?v=hxe6Ly4xfkE
39,Way Too Big,Burna Boy ,https://www.naijaloaded.com.ng/wp-content/uploads/2020/08/Burna-Boy-Twice-As-Tall.jpg,34,4,https://www.youtube.com/watch?v=Uz07P-Df7AE
40,PAMI,"Dj Tunez ft. Wizkid, Adekunle Gold & Omah Lay",https://www.naijaloaded.com.ng/wp-content/uploads/2020/08/DJ-Tunez-Ft.-Wizkid-Adekunle-Gold-Omah-Lay-Pami.jpg,30,1,https://www.youtube.com/watch?v=rYiUHMF7upY
41,Sho Mo Mi,Bella Shmurda,https://i0.wp.com/justnaija.com/uploads/2020/01/[JustNaija.com]8fd627816901c557f80fec2a30a3c51d0a88e23d60f37fc89c6904d8b74ce198_6.jpeg?ulb=false&ssl=1,39,39,https://www.youtube.com/watch?v=M0FbVcFWThE
42,Ginger Me (Intro),Rema,https://www.naijahits.com/wp-content/uploads/2020/06/Rema-Ginger-Me.jpeg,38,6,https://www.youtube.com/watch?v=f0GAC0d2JIA
43,Vision 2020,Bella Shmurda ft. Olamide,https://trendybeatz.com/images/Bella-Shmurda-High-Tension-EP.jpg,-1,43,https://www.youtube.com/watch?v=E7bKNj87Fm8
44,Green Light,Olamide ,https://i0.wp.com/justnaija.com/uploads/2020/10/Olamide-Greenlight-artwork.jpg?ulb=false,37,5,https://www.youtube.com/watch?v=kywkDPXJeC4
45,No Stress,Wizkid,https://i1.wp.com/media.premiumtimesng.com/wp-content/files/2020/11/Wizkids-14-track-studio-album-points-in-different-directions-1.jpg?ssl=1,35,6,https://www.youtube.com/watch?v=veIK9yEabNc&list=PL-vez4Zt4GfHznn2dLO0RggdWC-8FgRs1&index=8
46,If E Happen For Lagos,Runtown,https://www.naijaloaded.com.ng/wp-content/uploads/2020/12/Runtown-If-E-Happen-For-Lagos.jpg,40,26,https://www.youtube.com/watch?v=6dE1mygXWOE
47,Cultural Praise,"Kcee, Eze Okwesili Group",https://jesusful.com/wp-content/uploads/2021/01/Cultural-Praise-by-KCee-Ft-Okwesili-Eze-Group-Vol-1-Mp3-Lyrics-Video-1200x869.jpg,36,36,https://www.youtube.com/watch?v=iPpkmj5Kp_U
48,Champion,Fireboy DML ft. D. Smoke ,https://i2.wp.com/media.ghgossip.com/wp-content/uploads/2020/08/20024614/Fireboy-DML-Apollo-2.jpg?fit=680%2C680&ssl=1,-1,1,https://www.youtube.com/watch?v=hcXtOXgwimw
49,Marlians Anthem,Mohbad,https://www.naijaloaded.com.ng/wp-content/uploads/2020/12/Mohbad-The-Light-EP.jpg,33,32,https://www.youtube.com/watch?v=WmzEb6mggfQ
50,Essence,Wizkid ft. Tems ,https://i1.wp.com/media.premiumtimesng.com/wp-content/files/2020/11/Wizkids-14-track-studio-album-points-in-different-directions-1.jpg?ssl=1,46,10,https://www.youtube.com/watch?v=m77FDcKg96Q&list=PL-vez4Zt4GfHznn2dLO0RggdWC-8FgRs1&index=11
